SHIP_TO_CITY_CD,RMB_DOLLARS,SHIP_TO_CITY_CD_ENG,PROVINCE,PER_CAPITA_USD,normalized_sales,cluster
柳州,1795204.6500000001,Liuzhou,Liuzhou,11366,-0.24047702538629132,2
株洲,1223031.07,Zhuzhou,Hunan,13893,-0.2856903560270217,2
桂林,1945638.28,Guilin,Guilin,7249,-0.22858971410450285,2
梅州,1602172.72,Meizhou,Guangdong,5234,-0.25573046731436555,2
梧州,388666.42,Wuzhou,Wuzhou,7512,-0.351622104912364,2
楚雄彝族自治州,328029.91000000003,Chuxiong Yi Autonomous Prefecture,Yunnan,10921,-0.35641362040933955,2
榆林,1840339.22,"Yulin, Shaanxi",Shaanxi,11793,-0.2369104779117694,2
武威,127948.68000000001,"Wuwei, Gansu",Gansu,3682,-0.3722241001714321,2
武汉,47946984.17,Wuhan,Hubei,20610,3.4064506553637535,1
毕节,526711.55,Bijie,Guizhou,4247,-0.3407137366755213,2
永州,592545.2000000001,Yongzhou,Hunan,6967,-0.33551154159210594,2
汉中,821362.91,Hanzhong,Shaanxi,4953,-0.3174302964240142,2
汕头,7625131.850000001,Shantou,Guangdong,8232,0.22020559841641496,2
汕尾,1448817.8800000001,Shanwei,Guangdong,7455,-0.2678486135004868,2
江门,3737973.6,Jiangmen,Guangdong,11582,-0.0869588309689702,2
池州,762923.0700000001,Chizhou,Anhui,11695,-0.32204823038823427,2
沈阳,20462929.97,Shenyang,Liaoning,14050,1.2346523177118203,0
沧州,3513438.5,Cangzhou,Hebei,,-0.10470166298989202,2
河池,263284.12,Hechi,Hechi,4722,-0.36152985246406893,2
河源,1549069.2,Heyuan,Guangdong,6958,-0.2599267236461358,2
泉州,10797037.8,Quanzhou,Quanzhou,18180,0.47085057310862305,0
泰安,2316146.36,Tai'an,Shandong,9779,-0.19931205272401376,2
泰州,12357518.35,"Taizhou, Jiangsu",Jiangsu,16652,0.59416022166943,0
泸州,977762.9600000001,Luzhou,Sichuan,9291,-0.3050715168157758,2
洛阳,6154418.91,Luoyang,Henan,8493,0.1039894137512287,2
济南,17169036.45,Jinan,Shandong,16064,0.9743678480669281,0
济宁,4063358.29,Jining,Shandong,8912,-0.06124683361599636,2
济源,326637.22000000003,Jiyuan,Henan,11099,-0.35652367119751127,2
海东,49285.840000000004,,,,-0.37844006175787737,2
海北藏族自治州,86256.66,Haibei Tibetan Autonomous Prefecture,Qinghai,5479,-0.37551861629596184,2
海南藏族自治州,79680.55,Hainan Tibetan Autonomous Prefecture,Qinghai,4878,-0.37603826251199274,2
海口,4165173.17,Haikou,Hainan,11408,-0.05320139077400725,2
海西蒙古族藏族自治州,173563.73,Haixi Mongol and Tibetan Autonomous Prefecture,Qinghai,13922,-0.3686195850209012,2
淄博,6643410.98,Zibo,Shandong,16278,0.1426297161252132,2
淮北,1786107.09,Huaibei,Anhui,9604,-0.24119591734964255,2
淮南,1529163.95,Huainan,Anhui,7430,-0.2614996425665382,2
淮安,7227294.94,,,,0.18876840456185684,2
深圳,65597631.61,Shenzhen,Guangdong,27705,4.801210194466698,1
清远,1619557.69,Qingyuan,Guangdong,7821,-0.25435670168752694,2
温州,27360744.23,Wenzhou,Zhejiang,12439,1.7797197023955473,0
渭南,985144.33,Weinan,Shaanxi,4292,-0.3044882387091712,2
湖州,9392442.6,Huzhou,Zhejiang,13646,0.35985903240521816,2
湘潭,915437.25,Xiangtan,Hunan,14713,-0.3099965134114737,2
湘西土家族苗族自治州,325030.10000000003,Xiangxi Tujia and Miao Autonomous Prefecture,Hunan,4189,-0.3566506663096228,2
湛江,2462699.5100000002,Zhanjiang,Guangdong,7876,-0.1877313781542607,2
滁州,2117810.3,Chuzhou,Anhui,13062,-0.21498462862092907,2
滨州,2105969.25,Binzhou,Shandong,10168,-0.21592031200005926,2
漯河,956791.25,Luohe,Henan,6193,-0.3067287077303432,2
漳州,3984435.2,Zhangzhou,Fujian,14107,-0.06748336023674337,2
潍坊,11088298.07,Weifang,Shandong,9932,0.49386604839501846,0
潜江,323457.56,"Qianjiang, Hubei",Hubei,9362,-0.3567749288995973,2
潮州,3444340.2,Chaozhou,Guangdong,7506,-0.11016183171109087,2
澄迈县,92537.17,Chengmai County,Hainan,,-0.3750223284820044,2
濮阳,1086183.37,Puyang,Henan,6031,-0.29650410298039115,2
烟台,8475508.96,Yantai,Shandong,20254,0.28740265677017324,2
焦作,1832475.3900000001,Jiaozuo,Henan,8910,-0.23753188015458612,2
牡丹江,1854143.69,Mudan River,Mudan River,,-0.2358196444859582,2
玉林,1226894.73,"Yulin, Guangxi","Yulin, Guangxi",5524,-0.2853850484365116,2
玉树藏族自治州,32562.84,Yushu Tibetan Autonomous Prefecture,Qinghai,2432,-0.3797615183136046,2
玉溪,1472531.61,Yuxi,Yunnan,,-0.2659747473299882,2
珠海,3745180.93,Zhuhai,Guangdong,24477,-0.08638930555619798,2
琼中黎族苗族自治县,25307.08,Qiongzhong Li and Miao Autonomous County,Hainan,,-0.3803348706797341,2
琼海,286159.33,Qionghai,Hainan,,-0.35972224639947903,2
甘南藏族自治州,92910.63,Gannan Tibetan Autonomous Prefecture,Gansu,2888,-0.37499281755900604,2
甘孜藏族自治州,310362.88,Garzê Tibetan Autonomous Prefecture,Sichuan,2958,-0.3578096745033257,2
白城,452630.14,Baicheng,Jilin,5696,-0.3465676722673421,2
白山,434368.21,白山,白山,,-0.34801073554060236,2
白沙黎族自治县,8760.18,Baisha Li Autonomous County,Hainan,,-0.3816424117598013,2
白银,181085.86000000002,,,,-0.36802518401620515,2
